"","sorted_reads.bam"
"100502624",18
"100502630",10
"100502635",6
"100502636",0
"100502643",0
"100502653",11
"100502661",2
"100502670",7
"100502680",39
"100502694",0
"100502695",10
"100502698",3105
"100502700",26
"100502723",0
"100502727",1
"100502732",25
"100502734",28
"100502736",15
"100502742",8
"100502745",3
"100502764",0
"100502766",35
"100502803",0
"100502819",0
"100502820",4
"100502825",3105
"100502829",924
"100502831",0
"100502834",6
"100502841",3162
"100502842",0
"100502846",2609
"100502849",9
"100502861",213
"100502865",0
"100502868",10
"100502871",0
"100502874",19
"100502876",103
"100502880",0
"100502887",0
"100502888",4
"100502896",0
"100502917",0
"100502920",4
"100502921",0
"100502923",0
"100502924",0
"100502926",0
"100502932",5
"100502933",13
"100502936",0
"100502940",19
"100502941",0
"100502942",3
"100502945",0
"100502946",7
"100502950",0
"100502953",0
"100502955",0
"100502959",9
"100502967",0
"100502973",3
"100502982",26
"100502985",21
"100503000",39
"100503002",71
"100503003",49
"100503007",131
"100503014",0
"100503019",1
"100503021",0
"100503033",1
"100503036",0
"100503040",54
"100503041",177
"100503043",3232
"100503044",26
"100503048",0
"100503068",2164
"100503072",17
"100503074",2
"100503082",0
"100503085",2909
"100503099",29
"100503104",11
"100503106",1
"100503117",3
"100503120",13
"100503125",6
"100503142",172
"100503147",26
"100503157",1
"100503166",10
"100503167",0
"100503175",5
"100503178",510
"100503184",0
"100503185",9002
"100503190",2
"100503197",0
"100503199",259
"100503230",5
"100503240",3
"100503242",0
"100503248",0
"100503265",4
"100503272",15
"100503280",0
"100503289",2
"100503292",76
"100503307",32
"100503311",11
"100503323",42
"100503332",66
"100503337",13
"100503338",20
"100503353",251
"100503355",29
"100503361",2
"100503368",0
"100503378",1
"100503380",125
"100503384",3
"100503386",112
"100503388",0
"100503390",16
"100503392",3
"100503393",98
"100503399",2
"100503427",0
"100503434",1
"100503447",0
"100503460",15
"100503468",5
"100503469",12
"100503470",0
"100503471",34
"100503474",2
"100503481",0
"100503486",0
"100503490",0
"100503495",20
"100503496",0
"100503498",3
"100503518",8
"100503519",47
"100503530",0
"100503536",0
"100503538",4
"100503545",12
"100503549",0
"100503565",4
"100503572",1206
"100503580",2
"100503582",0
"100503583",12
"100503584",2
"100503592",9
"100503594",8
"100503595",3
"100503600",12
"100503605",1653
"100503609",12
"100503613",1
"100503619",10
"100503620",78
"100503622",6
"100503630",7
"100503632",51
"100503636",69
"100503652",4
"100503659",8209
"100503670",360
"100503676",3
"100503690",15
"100503704",44
"100503710",4
"100503727",0
"100503733",0
"100503743",0
"100503751",0
"100503754",32
"100503759",0
"100503783",23
"100503790",11
"100503794",2
"100503799",128
"100503802",2426
"100503808",3
"100503810",0
"100503812",1
"100503816",0
"100503823",93
"100503827",1
"100503830",83
"100503831",5
"100503842",92
"100503849",248
"100503856",0
"100503859",20
"100503866",3
"100503868",27
"100503869",71
"100503872",0
"100503879",0
"100503882",0
"100503884",2728
"100503890",515
"100503895",0
"100503901",0
"100503908",0
"100503915",15
"100503923",0
"100503924",58
"100503949",131
"100503961",0
"100503962",99
"100503964",0
"100503965",0
"100503969",0
"100503970",0
"100503991",0
"100503992",0
"100503999",0
"100504007",15
"100504014",0
"100504018",0
"100504026",0
"100504029",9
"100504049",67
"100504056",42
"100504061",0
"100504069",3
"100504070",0
"100504089",771
"100504101",178
"100504104",6
"100504112",44
"100504114",43
"100504116",712
"100504121",12
"100504140",3
"100504141",12
"100504145",0
"100504154",0
"100504156",19
"100504162",0
"100504164",1
"100504166",313
"100504169",0
"100504177",0
"100504178",5
"100504180",0
"100504183",0
"100504184",0
"100504191",34
"100504200",11
"100504202",7
"100504207",1
"100504221",47
"100504231",3
"100504232",0
"100504234",16
"100504235",6
"100504239",2
"100504249",1
"100504255",0
"100504262",123
"100504263",886
"100504265",0
"100504267",13
"100504268",0
"100504283",2
"100504285",91
"100504291",20
"100504292",0
"100504304",4
"100504308",3
"100504309",11
"100504312",21
"100504323",1
"100504325",647
"100504333",1
"100504346",3
"100504347",7
"100504350",258
"100504360",45
"100504361",19
"100504375",3
"100504377",0
"100504399",4
"100504400",0
"100504404",11
"100504412",96
"100504421",116
"100504425",44
"100504429",0
"100504444",0
"100504446",13
"100504454",0
"100504455",34
"100504457",8
"100504461",1
"100504464",1
"100504467",42
"100504474",0
"100504477",5
"100504486",25
"100504488",12
"100504491",93
"100504493",0
"100504501",28
"100504512",12
"100504518",13
"100504525",0
"100504539",1
"100504549",1
"100504561",19
"100504568",11
"100504586",0
"100504589",5
"100504591",0
"100504594",0
"100504601",89
"100504608",0
"100504616",8
"100504626",25
"100504628",0
"100504632",6192
"100504637",5
"100504641",73
"100504642",0
"100504652",0
"100504653",0
"100504661",7
"100504663",825
"100504675",1
"100504687",290
"100504689",3
"100504692",1
"100504701",0
"100504703",22
"100504710",19
"100504714",16
"100504715",771
"100504717",0
"100504720",2
"100504727",3
"100504728",0
"100504733",0
"100504734",49
"100504740",22
"100505025",19
"100505034",271
"100505096",0
"100505386",2
"100505397",73
"100515",697
"100526460",0
"100526461",32
"100526462",0
"100526463",1
"100526464",0
"100526465",0
"100526466",10
"100526467",50
"100526468",0
"100526469",166
"100526470",1
"100526471",0
"100526472",0
"100526473",0
"100526474",0
"100526475",0
"100526476",0
"100526477",1
"100526478",0
"100526479",0
"100526480",1
"100526481",0
"100526482",0
"100526483",0
"100526485",0
"100526486",0
"100526488",0
"100526489",0
"100526490",0
"100526491",0
"100526492",0
"100526494",0
"100526495",0
"100526496",0
"100526497",0
"100526498",0
"100526499",0
"100526500",0
"100526501",0
"100526502",0
"100526504",2
"100526505",2
"100526506",2
"100526507",0
"100526508",0
"100526509",0
"100526510",0
"100526511",0
"100526512",0
"100526513",0
"100526514",0
"100526515",0
"100526516",0
"100526517",1
"100526518",0
"100526519",0
"100526520",0
"100526521",0
"100526524",0
"100526525",1
"100526526",21
"100526527",0
"100526528",0
"100526529",0
"100526530",0
"100526531",0
"100526532",0
"100526533",0
"100526534",0
"100526535",0
"100526536",0
"100526538",0
"100526539",0
"100526540",4
"100526541",0
"100526542",0
"100526543",0
"100526544",0
"100526545",0
"100526546",1
"100526547",0
"100526548",0
"100526549",1
"100526550",0
"100526552",0
"100526553",0
"100526554",0
"100526555",0
"100526556",0
"100526557",1
"100526558",0
"100526559",0
"100526560",0
"100526561",0
"100526562",0
"100526796",0
"100529074",0
"100529075",6
"100529076",4
"100529077",12
"100529079",22
"100529082",4
"100532",709
"100532730",38
"100534273",5
"100534279",0
"100534287",115
"100534296",8
"100534633",0
"100535",1
"100554",0
"100559",0
"100561",799
"100568458",1
"100568459",157964
"100579137",0
"100579147",1
"100579149",0
"100579151",0
"100604",1723
"100608",809
"100609",224
"100616095",35
"100628567",0
"100628568",0
"100628570",0
"100628571",2
"100628572",0
"100628573",0
"100628574",4
"100628575",0
"100628576",0
"100628577",0
