"","sorted_reads_SRR14114310.bam"
"100124469",0
"100124470",0
"100124471",0
"100124473",0
"100124474",0
"100124475",0
"100124476",1
"100124478",0
"100124479",0
"100124480",0
"100124481",0
"100124482",0
"100124483",0
"100124484",3
"100124485",0
"100124486",0
"100124487",0
"100124488",0
"100124489",0
"100124491",4
"100124492",0
"100124493",0
"100124494",8
"100124495",0
"100124496",0
"100124623",2
"100124624",0
"100124625",0
"100124626",0
"100124627",0
"100124640",0
"100124641",224
"100124642",0
"100124643",0
"100124649",0
"100124659",0
"100124660",0
"100124661",0
"100124662",1
"100124663",0
"100124664",0
"100124665",0
"100124668",0
"100124670",0
"100124671",0
"100124672",0
"100124673",0
"100124674",1
"100124675",0
"100124676",0
"100124677",0
"100124678",0
"100124679",0
"100124680",0
"100124681",0
"100124682",0
"100124684",0
"100124685",0
"100124686",0
"100124687",0
"100124688",0
"100124689",0
"100124690",0
"100124693",0
"100124694",0
"100124698",0
"100124699",0
"100125246",1
"100125247",0
"100125248",0
"100125249",0
"100125250",0
"100125251",0
"100125252",0
"100125253",0
"100125254",0
"100125255",6
"100125256",1
"100125257",14
"100125258",0
"100125259",0
"100125260",4
"100125261",4
"100125262",46
"100125263",191
"100125339",4
"100125586",0
"100125594",0
"100125929",5
"100125931",26
"100125933",25
"100126034",12
"100126203",0
"100126224",0
"100126226",1
"100126227",19
"100126229",11
"100126242",10
"100126243",101
"100126244",0
"100126269",0
"100126431",0
"100126432",0
"100126433",0
"100126434",0
"100126451",0
"100126452",0
"100126454",0
"100126455",0
"100126456",2
"100126457",0
"100126458",0
"100126459",0
"100126460",0
"100126461",0
"100126462",0
"100126463",0
"100126464",0
"100126465",0
"100126466",0
"100126469",0
"100126470",0
"100126471",0
"100126472",0
"100126692",0
"100126765",0
"100126766",0
"100126768",0
"100126773",0
"100126774",0
"100126775",0
"100126776",0
"100126777",0
"100126778",0
"100126779",0
"100126795",11
"100126824",0
"100127111",3
"100127433",1
"100129",545
"100134861",0
"100134990",30
"100135654",0
"100135657",0
"100141474",46
"100151693",1
"100155",18
"100163",154
"100165",0
"100169",346
"100169864",3
"100169868",19
"100169871",9
"100169874",8
"100169878",4
"100169889",0
"100170401",0
"100174921",0
"100177",1033
"100182",118
"100188919",5
"100189605",0
"100190765",0
"100191037",0
"100196896",0
"100198",177
"100201",1686
"100206",314
"100210",100
"100213",3268
"100216343",33
"100216455",3
"100216474",0
"100216530",0
"100216531",2
"100216532",6
"100216533",3
"100216534",22
"100216535",1
"100216536",1
"100216537",7
"100216538",0
"100216539",23
"100216540",0
"100217413",0
"100217414",0
"100217415",0
"100217416",1
"100217417",2
"100217418",0
"100217419",6
"100217420",16
"100217421",1
"100217422",0
"100217423",3
"100217424",0
"100217425",0
"100217426",1
"100217427",1
"100217428",3
"100217429",37
"100217430",1
"100217431",2
"100217432",4
"100217433",0
"100217434",5
"100217435",0
"100217436",0
"100217437",3
"100217438",1
"100217439",0
"100217440",0
"100217441",0
"100217442",9
"100217443",6
"100217444",0
"100217445",3
"100217446",9
"100217447",0
"100217448",0
"100217449",0
"100217450",0
"100217451",3
"100217452",0
"100217453",1
"100217454",3
"100217455",7
"100217456",2
"100217457",1
"100217458",0
"100217459",0
"100217460",0
"100217461",2
"100217462",1
"100217463",2
"100217464",0
"100217465",0
"100217466",2
"100217467",1
"100217468",1
"100217469",0
"100226",3420
"100233175",95
"100233207",0
"100233208",85
"100270707",5
"100270744",1
"100271704",5
"100271841",17
"100271882",1
"100271928",1
"100272219",6
"100272221",0
"100273",1568
"100286843",0
"100294583",8
"100294660",0
"100302498",0
"100302499",3
"100302529",0
"100302565",2
"100302567",3
"100302592",0
"100302593",0
"100302594",1
"100302600",0
"100302601",0
"100302634",0
"100302648",30
"100302688",6
"100302730",983
"100302731",0
"100303644",5
"100303645",0
"100303646",1
"100303647",507
"100303731",2440
"100303732",122
"100303736",0
"100303738",0
"100303740",4
"100303744",1
"100303746",2
"100303747",1
"100303751",9
"100306943",7
"100306944",3
"100306945",3
"100306952",0
"100306954",5
"100306955",9
"100306957",0
"100310809",189
"100310813",5
"100310872",115
"100312470",0
"100312471",0
"100312473",0
"100312474",0
"100312475",0
"100312476",0
"100312477",0
"100312484",0
"100312485",0
"100312948",0
"100312949",0
"100312956",0
"100312986",0
"100312987",1
"100313519",0
"100313531",17
"100313943",0
"100316663",0
"100316664",0
"100316665",8
"100316667",0
"100316668",0
"100316669",24
"100316670",0
"100316671",0
"100316672",1
"100316673",3
"100316674",0
"100316675",0
"100316676",0
"100316677",0
"100316678",0
"100316679",0
"100316680",0
"100316681",29
"100316682",0
"100316683",0
"100316684",15
"100316685",0
"100316686",0
"100316687",0
"100316688",0
"100316689",3
"100316690",0
"100316693",1
"100316694",0
"100316695",1
"100316697",0
"100316698",0
"100316699",0
"100316700",2
"100316701",0
"100316702",0
"100316703",0
"100316704",0
"100316705",0
"100316706",0
"100316708",0
"100316709",0
"100316710",0
"100316711",0
"100316712",0
"100316713",1
"100316714",0
"100316715",0
"100316716",0
"100316717",3
"100316725",0
"100316727",0
"100316735",0
"100316736",0
"100316737",0
"100316739",0
"100316749",1
"100316751",0
"100316752",0
"100316753",0
"100316756",0
"100316769",0
"100316770",0
"100316772",0
"100316773",0
"100316774",1
"100316775",0
"100316776",0
"100316777",0
"100316778",0
"100316779",0
"100316783",0
"100316784",0
"100316802",0
"100316803",0
"100316804",0
"100316805",0
"100316806",0
"100316807",4
"100316808",0
"100316809",0
"100316810",0
"100316811",1
"100316812",0
"100316814",0
"100316815",0
"100316816",0
"100316818",0
"100316819",0
"100316820",4
"100316821",0
"100316827",0
"100316831",0
"100316832",0
"100316833",0
"100316834",0
"100316839",0
"100316840",0
"100316841",0
"100316903",15
"100316932",55
"100317",1984
"100322896",1
"100328588",4
"100336",800
"100340",75
"100342",7
"100359413",7
"100379095",75
"100379145",4
"100379610",0
"100380944",61
"100382",64
"100383",1426
"100384868",0
"100384890",0
"100415784",0
"100415785",0
"100415787",27
"100415901",0
"100415902",0
"100415912",2
"100415914",0
"100415915",16
"100415916",14
"100416360",0
"100416477",163
"100416706",435
"100416830",0
"100416956",2
"100417125",0
"100417434",0
"100417514",0
"100417675",14
"100417829",3
"100417831",6
"100417973",0
"100418302",1
"100434",2228
"100462664",0
"100463512",6
"100463519",0
"100465",103
"100470",2
"100473",15
"100494",1412
"100499512",0
"100499513",0
"100499514",0
"100499517",13
"100499518",0
"100499519",0
"100499521",0
"100499523",0
"100499526",0
"100499528",1
"100499529",1
"100499530",102
"100500713",4
"100502590",11
"100502592",0
"100502597",0
"100502601",1
"100502602",0
"100502619",19
"100502624",1
"100502630",2
"100502635",5
"100502636",0
"100502643",1
"100502653",14
"100502661",2
"100502670",5
"100502680",15
"100502694",0
"100502695",6
"100502698",2122
"100502700",12
"100502723",0
"100502727",0
"100502732",27
"100502734",15
"100502736",21
"100502742",8
"100502745",3
"100502764",0
"100502766",26
"100502803",0
"100502819",0
"100502820",3
"100502825",1983
"100502829",458
"100502831",0
"100502834",1
"100502841",2058
"100502842",0
"100502846",1333
"100502849",10
"100502861",108
"100502865",0
"100502868",6
"100502871",0
"100502874",14
"100502876",58
"100502880",0
"100502887",0
"100502888",4
"100502896",0
"100502917",0
"100502920",8
"100502921",0
"100502923",3
"100502924",0
"100502926",0
"100502932",3
"100502933",7
"100502936",0
"100502940",18
"100502941",0
"100502942",0
"100502945",5
"100502946",5
"100502950",0
"100502953",0
"100502955",0
"100502959",1
"100502967",0
"100502973",6
"100502982",19
"100502985",5
"100503000",39
"100503002",51
"100503003",35
"100503007",82
"100503014",0
"100503019",0
"100503021",0
"100503033",0
"100503036",0
"100503040",29
"100503041",159
"100503043",2297
"100503044",10
"100503048",0
"100503068",1102
"100503072",5
"100503074",1
"100503082",0
"100503085",1626
"100503099",21
"100503104",2
"100503106",0
"100503117",0
"100503120",7
"100503125",1
"100503142",107
"100503147",35
"100503157",1
"100503166",2
"100503167",1
"100503175",1
"100503178",345
"100503184",0
"100503185",4996
"100503190",4
"100503197",0
"100503199",80
"100503230",1
"100503240",0
"100503242",0
"100503248",0
"100503265",9
"100503272",11
"100503280",1
"100503289",0
"100503292",56
"100503307",16
"100503311",22
"100503323",28
"100503332",43
"100503337",6
"100503338",23
"100503353",175
"100503355",20
"100503361",2
"100503368",0
"100503378",2
"100503380",76
"100503384",1
"100503386",89
"100503388",0
"100503390",6
"100503392",5
"100503393",80
"100503399",0
"100503427",1
"100503434",0
"100503447",0
"100503460",16
"100503468",1
"100503469",8
"100503470",0
"100503471",23
"100503474",0
"100503481",1
"100503486",0
"100503490",0
"100503495",7
"100503496",1
"100503498",6
"100503518",4
"100503519",34
"100503530",0
"100503536",0
"100503538",3
"100503545",4
"100503549",0
"100503565",0
"100503572",760
